Date;Sprint;PI;BAS;BRO;CIR;DGR;DKA;DMA;GRO;IWI;JDE;JEI;JRE;KFI;LBU;LMA;LOR;LRU;LSO;MBR;MMA;MPL;MVA;NAC;NRA;OMO;PNI;PSA;PSC;RBL;RBU;RGA;RSA;RTH;SFR;SOL;STH;TSC;VNA;VSC;VTS;YHU
04.12.25;26.1-S1;26.1;1;1;1;1;0.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0.5;vu;0.5;1;1;1;1;1
05.12.25;26.1-S1;26.1;x;1;1;1;1;1;1;1;1;1;0.5;1;0;1;1;1;1;1;1;0.5;1;0;1;1;0;1;1;x;0;1;1;0;1;x;0.5;1;1;x;0.5;1
08.12.25;26.1-S1;26.1;1;1;1;1;1;1;1;0;1;0;1;x;1;0;1;1;1;1;0;0.5;1;0;1;0;0;0;0;1;1;1;0;0;0.5;vu;0.5;1;0;1;0;1
09.12.25;26.1-S1;26.1;x;1;e;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0.5;1;0.5;1;1;0;1;1;1;1;1;1;1;0.5;vu;0.5;1;0;1;1;1
10.12.25;26.1-S1;26.1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0.5;1;1;0;1;1;1;1;1;1;1;1;vu;0.5;1;0.5;1;0.5;1
11.12.25;26.1-S1;26.1;1;1;1;1;0.5;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0.5;1;1;0;1;1;1;1;1;1;1;0.5;vu;0.5;1;1;1;1;1
12.12.25;26.1-S1;26.1;x;1;1;1;1;1;1;1;1;0;0.5;1;0;1;1;1;1;1;1;0.5;1;0.5;1;1;0;1;1;x;0;1;1;0;1;x;0.5;1;1;x;0.5;1
15.12.25;26.1-S1;26.1;1;1;1;h;1;1;1;0;1;0;1;x;1;1;1;1;1;1;1;0.5;1;0.5;1;0;0;1;0;1;1;1;1;0;1;vu;0.5;1;0.5;1;1;1
16.12.25;26.1-S1;26.1;x;1;1;h;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0.5;1;0.5;1;0;0;1;1;1;1;1;1;1;0.5;vu;0.5;1;0.5;1;1;1
17.12.25;26.1-S1;26.1;1;1;1;h;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0.5;1;1;0;1;1;1;1;1;1;1;1;vu;0.5;1;0.5;1;0.5;1
